prompt_id,prompt_text,prompt_type,language,prompt_length,commercial_intent
P0263,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号263,品牌宣传,zh,31,high
P0264,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号264,二次元,zh,32,low
P0265,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号265,二次元,zh,32,low
P0266,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号266,品牌宣传,zh,31,high
P0267,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号267,二次元,zh,32,low
P0268,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号268,二次元,zh,32,low
P0269,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号269,商品广告,zh,35,high
P0270,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号270,社交娱乐,zh,28,low
P0271,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号271,商品广告,zh,35,high
P0272,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号272,人物写真,zh,33,medium
P0273,"Create a cinematic 短剧剧情 video with coherent motion, natural lighting and clear subject details, sample 273",短剧剧情,en,106,medium
P0274,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号274,教育科普,zh,33,medium
P0275,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号275,人物写真,zh,33,medium
P0276,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号276,短剧剧情,zh,31,medium
P0277,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号277,短剧剧情,zh,31,medium
P0278,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号278,商品广告,zh,35,high
P0279,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号279,短剧剧情,zh,31,medium
P0280,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号280,人物写真,zh,33,medium
P0281,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号281,品牌宣传,zh,31,high
P0282,"Create a cinematic 社交娱乐 video with coherent motion, natural lighting and clear subject details, sample 282",社交娱乐,en,106,low
P0283,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号283,风景旅行,zh,28,low
P0284,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号284,短剧剧情,zh,31,medium
P0285,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号285,商品广告,zh,35,high
P0286,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号286,人物写真,zh,33,medium
P0287,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号287,短剧剧情,zh,31,medium
P0288,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号288,商品广告,zh,35,high
P0289,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号289,教育科普,zh,33,medium
P0290,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号290,二次元,zh,32,low
P0291,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号291,社交娱乐,zh,28,low
P0292,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号292,社交娱乐,zh,28,low
P0293,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号293,品牌宣传,zh,31,high
P0294,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号294,社交娱乐,zh,28,low
P0295,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号295,社交娱乐,zh,28,low
P0296,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号296,商品广告,zh,35,high
P0297,用清晰动画解释太阳能电池的工作原理，适合一分钟科普视频，编号297,教育科普,zh,33,medium
P0298,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号298,社交娱乐,zh,28,low
P0299,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号299,社交娱乐,zh,28,low
P0300,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号300,商品广告,zh,35,high
P0301,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号301,商品广告,zh,35,high
P0302,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号302,人物写真,zh,33,medium
P0303,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号303,二次元,zh,32,low
P0304,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号304,商品广告,zh,35,high
P0305,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号305,商品广告,zh,35,high
P0306,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号306,二次元,zh,32,low
P0307,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号307,短剧剧情,zh,31,medium
P0308,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号308,商品广告,zh,35,high
P0309,动漫少年站在霓虹城市天台，风吹动衣角，强烈风格化光影，编号309,二次元,zh,32,low
P0310,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号310,商品广告,zh,35,high
P0311,两位朋友在雨夜车站重逢，情绪克制，使用电影叙事镜头，编号311,短剧剧情,zh,31,medium
P0312,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号312,商品广告,zh,35,high
P0313,为科技品牌制作简洁高端的品牌宣传片，突出可靠与创新，编号313,品牌宣传,zh,31,high
P0314,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号314,人物写真,zh,33,medium
P0315,为一款轻量运动鞋制作电影感产品广告，展示材质细节与动态镜头，编号315,商品广告,zh,35,high
P0316,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号316,风景旅行,zh,28,low
P0317,生成一段自然光下的人物写真视频，镜头缓慢推进，肤色真实，编号317,人物写真,zh,33,medium
P0318,"Create a cinematic 风景旅行 video with coherent motion, natural lighting and clear subject details, sample 318",风景旅行,en,106,low
P0319,生成适合社交平台发布的轻松搞笑短片，节奏明快，编号319,社交娱乐,zh,28,low
P0320,航拍山谷与湖泊的旅行短片，清晨薄雾，画面宁静，编号320,风景旅行,zh,28,low
